9.440989e+14 2.419567e+08 2.419197e+08 2.415526e+08 2.399694e+08 2.380897e+08 2.258580e+08 2.150763e+08 1.640093e+08 1.261732e+08 1.150149e+08
8.612133e+14 2.419519e+08 2.419150e+08 2.415479e+08 2.399651e+08 2.380856e+08 2.258555e+08 2.150746e+08 1.640092e+08 1.261732e+08 1.150149e+08
7.968583e+14 2.419480e+08 2.419111e+08 2.415441e+08 2.399614e+08 2.380823e+08 2.258533e+08 2.150732e+08 1.640091e+08 1.261732e+08 1.150149e+08
7.380875e+14 2.419441e+08 2.419072e+08 2.415403e+08 2.399579e+08 2.380789e+08 2.258512e+08 2.150719e+08 1.640089e+08 1.261732e+08 1.150149e+08
6.835462e+14 2.419404e+08 2.419035e+08 2.415366e+08 2.399545e+08 2.380758e+08 2.258492e+08 2.150705e+08 1.640088e+08 1.261732e+08 1.150149e+08
6.332446e+14 2.419370e+08 2.419001e+08 2.415333e+08 2.399514e+08 2.380729e+08 2.258474e+08 2.150693e+08 1.640087e+08 1.261732e+08 1.150149e+08
5.867052e+14 2.419339e+08 2.418970e+08 2.415302e+08 2.399485e+08 2.380702e+08 2.258457e+08 2.150682e+08 1.640086e+08 1.261732e+08 1.150149e+08
5.434100e+14 2.419312e+08 2.418943e+08 2.415276e+08 2.399461e+08 2.380679e+08 2.258442e+08 2.150672e+08 1.640085e+08 1.261732e+08 1.150149e+08
5.034654e+14 2.419289e+08 2.418920e+08 2.415253e+08 2.399439e+08 2.380659e+08 2.258430e+08 2.150664e+08 1.640084e+08 1.261732e+08 1.150149e+08
4.665361e+14 2.419269e+08 2.418900e+08 2.415234e+08 2.399422e+08 2.380643e+08 2.258419e+08 2.150657e+08 1.640083e+08 1.261732e+08 1.150149e+08
4.321923e+14 2.419254e+08 2.418885e+08 2.415219e+08 2.399408e+08 2.380630e+08 2.258411e+08 2.150651e+08 1.640083e+08 1.261732e+08 1.150149e+08
4.004935e+14 2.419243e+08 2.418874e+08 2.415208e+08 2.399398e+08 2.380621e+08 2.258405e+08 2.150647e+08 1.640082e+08 1.261732e+08 1.150149e+08
3.710185e+14 2.419236e+08 2.418867e+08 2.415201e+08 2.399392e+08 2.380615e+08 2.258401e+08 2.150645e+08 1.640082e+08 1.261732e+08 1.150149e+08
3.437840e+14 2.419232e+08 2.418863e+08 2.415198e+08 2.399389e+08 2.380613e+08 2.258399e+08 2.150643e+08 1.640082e+08 1.261732e+08 1.150150e+08
3.185194e+14 2.419233e+08 2.418864e+08 2.415198e+08 2.399390e+08 2.380613e+08 2.258399e+08 2.150643e+08 1.640081e+08 1.261732e+08 1.150150e+08
2.951276e+14 2.419236e+08 2.418867e+08 2.415202e+08 2.399394e+08 2.380617e+08 2.258401e+08 2.150644e+08 1.640081e+08 1.261732e+08 1.150150e+08
2.733889e+14 2.419243e+08 2.418874e+08 2.415208e+08 2.399401e+08 2.380623e+08 2.258405e+08 2.150646e+08 1.640082e+08 1.261732e+08 1.150150e+08
